市区町村名,人数
東京都清瀬市,3666.0
東京都東久留米市,5898.0
東京都武蔵村山市,3760.0
東京都多摩市,6888.0
東京都稲城市,5391.0
東京都羽村市,2583.0
東京都あきる野市,3961.0
東京都西東京市,10006.0
東京都瑞穂町,1461.0
東京都日の出町,990.0
東京都檜原村,60.0
東京都奥多摩町,143.0
東京都大島町,299.0
東京都利島村,19.0
東京都新島村,108.0
東京都神津島村,124.0
東京都三宅村,94.0
東京都御蔵島村,27.0
東京都八丈町,328.0
東京都青ヶ島村,5.0
東京都小笠原村,161.0
神奈川県横浜市鶴見区,14770.0
神奈川県横浜市神奈川区,10940.0
神奈川県横浜市西区,4072.0
神奈川県横浜市中区,5578.0
神奈川県横浜市南区,8552.0
神奈川県横浜市保土ケ谷区,8821.0
神奈川県横浜市磯子区,7783.0
神奈川県横浜市金沢区,8500.0
神奈川県横浜市港北区,17659.0
神奈川県横浜市戸塚区,13844.0
神奈川県横浜市港南区,9278.0
神奈川県横浜市旭区,11260.0
神奈川県横浜市緑区,9352.0
神奈川県横浜市瀬谷区,5542.0
神奈川県横浜市栄区,5508.0
神奈川県横浜市泉区,6178.0
神奈川県横浜市青葉区,16467.0
神奈川県横浜市都筑区,12875.0
神奈川県川崎市川崎区,9785.0
神奈川県川崎市幸区,8502.0
神奈川県川崎市中原区,13429.0
神奈川県川崎市高津区,12219.0
神奈川県川崎市多摩区,9018.0
神奈川県川崎市宮前区,12593.0
神奈川県川崎市麻生区,9715.0
神奈川県相模原市緑区,8533.0
神奈川県相模原市中央区,12340.0
神奈川県相模原市南区,12909.0
神奈川県横須賀市,16321.0
神奈川県平塚市,11820.0
神奈川県鎌倉市,9114.0
神奈川県藤沢市,24580.0
神奈川県小田原市,8350.0
神奈川県茅ヶ崎市,12905.0
神奈川県逗子市,2741.0
神奈川県三浦市,1332.0
神奈川県秦野市,7326.0
神奈川県厚木市,10525.0
神奈川県大和市,11918.0
神奈川県伊勢原市,4618.0
神奈川県海老名市,7101.0
神奈川県座間市,5961.0
神奈川県南足柄市,1863.0
神奈川県綾瀬市,4406.0
